"STDR_DE","EMD_ID","CNT","CNT_00H","CNT_01H","CNT_02H","CNT_03H","CNT_04H","CNT_05H","CNT_06H","CNT_07H","CNT_08H","CNT_09H","CNT_10H","CNT_11H","CNT_12H","CNT_13H","CNT_14H","CNT_15H","CNT_16H","CNT_17H","CNT_18H","CNT_19H","CNT_20H","CNT_21H","CNT_22H","CNT_23H"
"20240515","1110055","11807","62","18","6","21","84","336","354","551","766","913","921","972","926","814","707","640","675","648","581","610","415","386","263","138"
"20240515","1115058","4483","27","1","1","5","27","86","129","168","253","305","329","341","353","335","302","280","246","243","260","243","168","179","124","78"
"20240515","1110065","18559","50","7","0","12","24","390","442","726","1136","1371","1322","1468","2005","2312","1726","1186","1037","891","702","568","413","380","254","137"
"20240515","1116063","6065","19","7","1","5","48","102","112","163","236","316","302","333","367","404","327","393","399","438","454","401","358","399","298","183"
"20240515","1119062","9429","42","3","2","2","16","188","210","313","440","651","702","736","783","710","632","571","701","581","502","480","393","324","303","144"
"20240515","1115066","16096","44","12","9","11","105","421","599","781","1139","1437","1490","1352","1250","1144","958","922","849","863","721","608","503","415","330","133"
"20240515","1119054","65281","91","8","8","4","28","577","738","900","1266","1725","1900","3259","3625","4126","4527","5528","6205","6001","5642","5176","6197","4485","2553","712"
"20240515","1121069","15772","142","31","24","24","71","273","333","352","478","549","566","757","850","971","954","1016","1167","1103","1256","1099","1070","1164","937","585"
"20240515","1124082","8644","30","29","12","23","95","120","231","341","502","633","660","735","655","667","560","498","547","521","485","371","331","283","249","66"
"20240515","1111072","9558","2","0","0","0","12","297","375","529","759","980","1074","1000","787","682","548","503","492","427","334","269","207","125","124","32"
"20240515","1111073","2516","3","0","0","0","6","37","71","86","116","199","217","192","257","193","174","147","158","162","135","104","82","79","63","35"
"20240515","1111074","4938","43","7","0","16","63","85","124","149","225","318","315","367","337","325","323","298","301","327","289","287","212","229","197","101"
"20240515","1111078","15786","33","10","4","10","69","337","506","642","1031","1209","1337","1205","1190","1206","1259","912","862","834","725","598","487","686","446","188"
"20240515","1111079","29917","139","38","16","40","75","600","645","904","1531","1973","2109","2508","2697","2715","2314","2019","1927","1622","1441","1301","1142","983","797","381"
"20240515","1122055","8200","61","10","16","13","24","140","244","253","388","615","740","745","714","574","539","524","489","555","390","281","266","253","231","135"
"20240515","1122059","10211","67","16","10","2","10","84","137","134","251","352","438","727","706","837","711","825","825","739","737","611","661","604","483","244"
"20240515","1122060","84848","85","11","4","5","25","357","532","1067","1678","2818","3832","5049","5651","5856","6363","7496","7784","7529","6746","6474","6989","4646","2931","920"
"20240515","1122063","6559","8","8","1","2","38","115","114","150","271","390","424","494","592","497","479","468","447","402","364","327","336","316","224","92"
"20240515","1122064","12576","36","10","10","7","14","110","253","336","530","817","854","910","1110","1017","880","795","860","924","784","602","524","567","453","173"
"20240515","1112052","15730","129","41","12","8","74","170","392","539","822","1287","1401","1314","1149","1095","1011","844","863","801","786","745","651","684","539","373"
"20240515","1112055","29031","9","2","1","3","37","711","952","1284","1880","2304","2308","2150","2349","2394","2130","1939","1942","1503","1290","1048","1091","837","587","280"
"20240515","1112057","7458","15","5","2","21","64","162","253","279","445","556","608","748","860","747","482","393","390","363","256","234","212","184","134","45"
"20240515","1112059","11229","31","1","0","0","60","195","251","371","579","724","756","780","794","833","754","708","738","687","636","621","553","572","397","188"
"20240515","1112060","4195","11","1","0","0","19","79","116","179","297","358","416","445","412","311","276","211","218","181","168","152","126","94","90","35"
"20240515","1112071","37444","99","18","6","8","102","463","696","1054","1708","2266","2496","3008","3744","3894","3587","3156","2583","2164","1737","1278","1193","1047","806","331"
"20240515","1112072","8314","28","10","8","9","75","154","230","301","436","643","611","653","708","710","594","545","494","428","452","346","341","233","212","93"
"20240515","1122066","36811","69","4","0","1","25","324","771","1114","1693","2391","2523","2416","2947","3091","2740","2528","2519","2354","2134","1866","1868","1762","1186","485"
"20240515","1122068","6038","4","1","0","0","9","53","115","167","284","389","479","553","615","641","633","473","410","355","285","173","181","116","76","26"
"20240515","1123052","34142","174","27","43","28","147","536","665","613","982","1384","1482","1709","1938","2214","2212","2266","2450","2590","2445","2207","2390","2523","2130","987"
"20240515","1123053","22686","14","0","0","0","42","234","396","464","588","870","875","1057","1301","1447","1579","1729","1972","1786","1938","1770","1558","1584","1053","429"
"20240515","1123058","51210","148","32","26","17","32","245","566","715","1015","1497","2147","3882","5146","5278","4440","4165","4355","3872","3551","2979","2750","2405","1502","445"
"20240515","1123060","9732","103","10","3","1","15","52","79","118","222","368","444","525","631","603","585","636","644","736","709","566","568","813","1043","258"
"20240515","1112073","8187","25","7","8","6","56","96","180","238","346","492","548","659","599","638","588","519","497","517","485","488","378","362","324","131"
"20240515","1112074","10328","44","7","6","18","95","230","308","378","580","790","854","793","649","716","595","638","566","590","529","545","428","444","369","156"
