"자치구별(1)","자치구별(2)",항목,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",항목,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)",항목,소계,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
"합계","관악구",사망자수,10,2,2,1,-,2,1,1,1,-,-,-,-
"합계","관악구",부상자수,1252,65,55,48,68,113,126,126,128,145,162,106,110
"합계","서초구",발생건수,2168,83,49,62,104,235,252,252,230,286,280,178,157
"합계","서초구",사망자수,7,1,1,1,-,-,-,-,-,1,1,-,2
"합계","서초구",부상자수,3319,141,65,97,140,366,428,400,360,400,435,252,235
"합계","강남구",발생건수,3926,194,107,108,178,355,407,466,427,491,525,361,307
"합계","강남구",사망자수,7,1,1,1,1,-,-,-,-,-,1,1,1
"합계","강남구",부상자수,5229,256,148,161,245,465,540,609,591,637,675,494,408
"합계","송파구",발생건수,2614,94,69,71,151,255,249,292,287,334,370,249,193
"합계","송파구",사망자수,10,-,-,1,-,-,1,2,1,-,1,-,4
"합계","송파구",부상자수,3603,136,96,99,196,343,353,408,391,453,500,347,281
"합계","강동구",발생건수,1185,48,20,23,68,106,140,125,171,155,154,110,65
"합계","강동구",사망자수,4,2,1,-,-,-,1,-,-,-,-,-,-
"합계","강동구",부상자수,1522,56,25,30,93,139,181,154,221,207,206,126,84
