"자치구별(1)","자치구별(2)",항목,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)","자치구별(2)",항목,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)",항목,소계,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
"합계","관악구",사망자수,9,-,-,2,1,1,1,1,-,1,-,2,-
"합계","관악구",부상자수,1535,83,44,49,64,131,123,173,157,205,216,155,135
"합계","서초구",발생건수,2264,89,68,50,103,232,254,264,253,273,321,201,156
"합계","서초구",사망자수,8,-,1,1,-,1,-,2,2,-,1,-,-
"합계","서초구",부상자수,3391,156,120,74,144,317,396,390,387,381,476,304,246
"합계","강남구",발생건수,3709,206,141,103,132,292,356,458,425,457,493,350,296
"합계","강남구",사망자수,16,3,2,-,2,1,-,1,1,1,2,2,1
"합계","강남구",부상자수,5052,301,226,150,183,380,484,595,563,615,641,504,410
"합계","송파구",발생건수,2581,109,47,64,120,261,252,280,258,343,353,277,217
"합계","송파구",사망자수,9,-,1,1,-,1,2,-,-,2,-,1,1
"합계","송파구",부상자수,3594,148,67,87,165,354,342,416,362,479,470,394,310
"합계","강동구",발생건수,1151,51,23,35,70,104,110,126,112,149,163,122,86
"합계","강동구",사망자수,7,-,2,1,-,1,-,-,-,-,-,3,-
"합계","강동구",부상자수,1553,77,33,42,98,144,142,172,146,187,204,184,124
